,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
12630,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,0,1.257570825441917,0.22572844919536195,-2.1147565028565722,0.013631942221200122,-0.7400936550564126,0.562292156797426,-0.23262332184145862,-3.0303030303016385
12631,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,1,-0.2593840011442694,-0.27535226609972696,2.4145618257744497,0.01030577481403383,0.6140545161083679,0.3162229904020677,-0.9437734430487126,2.2737367544323206e-12
12632,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,2,-0.19156716086649794,0.374929351035977,0.7550905285149616,0.004416738769867076,-1.552053894659494,0.6427341037326499,-0.07110364509351541,-3.0303030303020932
12633,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,3,1.6288063742897805,0.5794626293760778,-2.3649829630043877,-0.0007842247343866626,-3.280527904780243,1.4661962335759995,-0.13284779558277648,-3.0303030303039122
12634,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,4,2.022267351246853,0.976860643637341,-0.27588848982306313,-0.003431654547440585,2.1207828714389905,1.9501965455334869,-0.20912440136227417,4.545454545455868
12635,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,5,-0.45075079407354224,0.3824065429996075,-0.9454976330940204,0.002118794022463788,0.6205895934442225,0.25937436807033976,0.6296986281269028,-6.0606060606005485
12636,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,6,0.03771541094539543,-0.23950952472108256,0.8803471269896184,0.004970166248244048,2.002342301185635,0.5993274727253208,-1.4082032020646125,3.030303030311188
12637,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,7,0.01055784899776313,0.1267698076036119,0.736757227215104,0.0004298708017642927,0.18850384336529658,0.9122867776890047,-1.2480649081143724,1.515151515159232
12638,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,8,-1.2973207415956836,-0.4897006834396045,2.0727849847582824,0.007584619800040326,-0.7824637673118247,0.20883540914515208,0.07740752865566947,0.0
12639,NotAtaxic,Switch,Switch07,S3,Baseline,46,3,9,9,1.2766905505247905,0.5517251563794652,-1.7922654374648985,0.0016070097198975508,-0.5346009225556259,1.4528871786714888,-1.2316674897164859,-7.575757575756143
12640,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,0,1.1637600985439889,0.3901977731724209,0.410708339260097,0.012451882708005804,1.1453840467664946,1.4475292629665688,-0.747068000562308,15.15151515151615
12641,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,1,-1.170387653389355,0.6470318996545394,0.27200638032378643,0.0024949955112853195,-0.23169854674675605,1.1915784893613903,-0.7158067491319713,3.0303030303057312
12642,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,2,-1.6593701911695007,-0.6127111839525661,3.2018087549580962,0.007687901120322263,1.2791681771326893,-0.4245488330570737,-0.8273134327898504,6.060606060605096
12643,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,3,0.25066028941762397,-1.029077684036448,2.8113518715276644,0.005812716776451482,0.3043473368943381,-0.9420009574505315,0.04396920252318637,9.090909090911737
12644,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,4,0.7900507763178837,0.23991989366934163,0.33178975765951746,0.007965516306981418,-0.23353268401788796,-0.027841510194747343,-0.4913368610421003,-4.545454545450411
12645,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,5,0.8698588669901994,-0.2001622710564952,-1.3108775066664777,0.0010364871703982953,-1.3535586270419486,1.0183527012064388,-0.190183851453952,-9.090909090908099
12646,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,6,-0.8629538796164411,0.36305755075784774,-2.67013884785044,-0.006014945123821613,0.2986907958984233,1.064375675085799,-0.5822268399325026,6.0606060606005485
12647,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,7,0.503686461785847,0.747671512642281,-3.8010912288028207,0.0010957823270919126,-1.8410075794566438,1.0488336736506056,0.633852409593942,-4.545454545455868
12648,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,8,-1.6630847044665416,-0.0063091817527798355,1.030815663813598,-0.00018564091797035331,1.55798786818373,0.8407323047368465,-1.2424835050948815,7.575757575756143
12649,NotAtaxic,Switch,Switch07,S3,Baseline,47,4,10,9,-0.18083976976799931,0.40011598606301746,-0.5704804190780868,0.005271090313457072,-0.5036749020971598,1.1545181274414205,0.6147827764954457,0.0
12650,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,0,-1.3694840248184619,0.03862718139034271,2.8113518715276644,-0.038754312946836345,8.629665952740297,7.866967326462813,-6.829676001962952,-27.272727272726115
12651,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,1,-9.218728421914534,-0.4074400121515218,13.549464333778058,-0.14843344809462983,11.969367903892461,11.583318613996383,-14.381081166893551,-30.303030303031846
12652,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,2,-7.581198335898023,-1.9867516527272322,9.830825249285315,-0.1499630467194009,12.691355233240628,8.165103257304438,-12.734815809461821,-33.33333333333394
12653,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,3,-11.9490960631708,-3.7330352898799823,12.422260710008217,-0.1422261776161026,13.966111462525646,6.190535034796213,-15.115813053015529,-30.303030303030027
12654,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,4,-11.70264350043405,-5.513026979234464,14.275744632426777,-0.1456240097096202,12.10727498988912,5.120470066263209,-15.124615755948184,-30.303030303031846
12655,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,5,-8.540837451665084,-4.0618198086516735,8.2132512510861,-0.15638977424989964,14.047799929223899,6.4519728072965705,-14.565134530115643,-30.303030303039122
12656,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,6,-7.730796120383559,-3.0648139992145325,10.356969306712509,-0.14965498420487797,13.139008030746922,7.102328599101341,-14.863301286793728,-33.33333333332848
12657,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,7,-5.356690377900094,-3.0869122707482255,2.6679181998212593,-0.14714183077254922,12.170629790335013,6.661615468034867,-11.901637761279815,-33.33333333333576
12658,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,8,-6.841532389322964,-1.2790355297050233,6.852581204932904,-0.1543868197496866,13.54805146804965,8.72648605192552,-8.513839798744286,-34.84848484848408
12659,NotAtaxic,Switch,Switch07,S3,Split,48,0,12,9,-6.7777074948706115,-0.06430799310857438,5.6590530209529515,-0.1536239361341108,11.319482206094136,10.207214740791699,-10.97256438900726,-37.87878787879163
12660,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,0,-1.6508314344618498,-0.20027305140639484,-2.564421780108056,-0.06035824836516321,5.632038309116595,5.971912422565495,-5.58789571126303,-27.272727272726115
12661,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,1,-7.7258793994633805,0.2678953035913558,10.36047057068689,-0.1492813945379593,14.048131306966155,10.794525917130272,-10.814849776451027,-36.36363636363512
12662,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,2,-0.7369378600457708,0.4839169858682375,2.8630743495588904,-0.1566709417525375,13.30709361066718,10.751321580674912,-7.143700724900356,-37.87878787878708
12663,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,3,-1.214460893110811,-0.7890002896087189,-0.5847800657791487,-0.14982996824170533,11.048846774631087,7.9060467806729235,-11.288540772717369,-45.45454545454413
12664,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,4,-3.916746197324784,-2.2327716904457056,7.826144053495751,-0.14935814816452386,14.141271571920399,7.420807655411565,-11.894543965657576,-37.87878787878617
12665,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,5,-7.2798989035866555,-3.2807354975227874,7.021280294538045,-0.15581749772396497,15.167163116763376,7.489304590706851,-12.578341936824302,-31.818181818180165
12666,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,6,-2.1532000917376877,-1.6596529218885756,2.321286826530782,-0.1515213978690196,14.170702539309119,7.388619702271782,-11.161172269570756,-36.363636363632395
12667,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,7,-2.8768211904198466,-0.31527461427630143,1.725967706070608,-0.1555837535042941,14.781424011847008,8.013515279750635,-9.456767457904263,-33.33333333333576
12668,NotAtaxic,Switch,Switch07,S3,Split,49,1,13,8,-4.360684481534065,-1.7566329301005474,4.5176692554713505,-0.15778159017777849,12.09771127411814,8.263449235395981,-12.873085099037269,-36.36363636363967
