,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
151,,,,,,,,,,0.8191219483963366,-1.3083472488506813,-0.004234239890902089,0.547263218716509,0.4982977202443948,0.7625252309471904,3.0303030302984553
152,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,77,7,34,0.9108109907670467,,,,,,,
153,,,,,,,,,,0.6940437085700992,1.6493346470463166,-0.001568499704068707,-0.35030480587123236,-0.14381216029934762,0.5158819333471598,3.0303030303002743
154,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,78,8,35,0.622527767913482,,,,,,,
155,,,,,,,,,,0.7366026290739498,0.9072790391818315,-0.001380249751942661,-1.1499038850418088,0.08421618529034447,1.5914300475457708,0.0
156,NotAtaxic,Switch,SwitchLeft01,S4,Split,79,3,15,-0.1595853555081419,,,,,,,
157,,,,,,,,,,-1.1867985580906861,7.6305020864180895,-0.14201982628533394,10.668960725418259,6.353782885002346,-8.100390193438301,-15.151515151519106
158,NotAtaxic,Switch,SwitchLeft01,S4,Washout,80,0,15,1.5941581340751156,,,,,,,
159,,,,,,,,,,0.8446606722745145,-0.30135394837912033,-0.0006340998861102398,-0.7494993884154155,-0.14223426279401963,1.029209175495211,3.0303030302929983
160,NotAtaxic,Switch,SwitchLeft01,S4,Washout,81,1,16,1.36401243884157,,,,,,,
161,,,,,,,,,,0.6749008641098868,-1.8739563361988996,-0.0031272115509172194,0.7281524966461461,0.06254176900836228,1.1896383882773023,-1.0913936421275139e-11
162,NotAtaxic,Switch,SwitchLeft01,S4,Washout,82,2,17,1.4158306699810623,,,,,,,
163,,,,,,,,,,0.6599098745018637,-0.6720543792061333,-0.0011946739118401384,-0.6771203243371247,0.5197158967605162,1.1324371954407013,-5.4569682106375694e-12
164,NotAtaxic,Switch,SwitchLeft01,S4,Washout,83,3,18,2.280603273950476,,,,,,,
