,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym
186,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Washout,40,3,3,
187,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Washout,41,4,4,
188,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Washout,42,5,5,
189,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,43,0,30,1.7203282828282838
190,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,44,1,31,3.1934179440893544
191,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,45,2,32,2.5842685892124635
192,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,46,3,33,0.8553861367582485
193,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,47,4,34,3.1131937046243863
194,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,48,5,35,-0.33233334319758256
195,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,49,6,36,2.3337161902225816
196,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,50,7,37,3.3802302196772374
197,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,51,8,38,1.3728594539141667
198,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,52,9,39,1.653266675544522
199,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,53,10,40,1.7656037301728205
200,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,54,11,41,2.8462419606218745
201,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,55,12,42,3.321815259528897
202,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,56,13,43,0.8171929253472214
203,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Split,57,14,44,2.8372716422033406
204,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Washout,58,0,6,
205,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Washout,59,1,7,
206,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Washout,60,2,8,
207,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Washout,61,3,9,
208,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Washout,62,4,10,
209,NotAtaxic,NoSwitch,NoSwitchLeft03,S3,Washout,63,5,11,
210,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Split,64,0,45,2.0688374837239607
211,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Split,65,1,46,0.7596873273753246
212,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Split,66,2,47,1.109899655737074
213,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,67,0,12,5.17895631115848
214,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,68,1,13,5.536361334701176
215,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,69,2,14,3.267769861703009
216,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,70,3,15,2.5597003975300012
217,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,71,4,16,2.4956288963857602
218,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,72,5,17,3.821648491753443
219,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,73,6,18,3.35700295188213
220,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,74,7,19,2.535078260633732
221,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,75,8,20,3.4304655441130123
222,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,76,9,21,3.262375340317213
223,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,77,10,22,0.7010180540759237
224,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,78,11,23,1.4494658611147244
225,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,79,12,24,2.2340177285551093
226,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,80,13,25,1.860200515901191
227,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,81,14,26,2.2047100645123336
228,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,82,15,27,1.8245966747553481
229,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,83,16,28,5.503629433988316
230,NotAtaxic,NoSwitch,NoSwitchLeft03,S4,Washout,84,17,29,2.2341024996054486
231,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,85,84,30,1.1901084822837973
232,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,86,85,31,1.3411550810843025
233,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,87,86,32,0.9306050310231484
234,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,88,87,33,-0.19847300451341
235,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,89,88,34,1.1058691776160217
236,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,90,89,35,0.6278606376262772
237,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,91,90,36,0.921815814393959
238,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,92,91,37,2.644055299084634
239,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,93,92,38,0.8011634903725096
240,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,94,93,39,-0.6576383956754697
241,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,95,94,40,0.05546338630447423
242,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,96,95,41,0.11508826053502474
243,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,97,96,42,1.3056128916114247
244,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,98,97,43,
245,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,99,98,44,-0.009502064097993923
246,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,100,99,45,2.60896008424087
247,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,101,100,46,2.349444131245601
248,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,102,101,47,-0.02607095121130243
249,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,103,102,48,0.773196750217032
250,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,104,103,49,1.0075655850497114
251,NotAtaxic,NoSwitch,NoSwitchLeft03,S5,Washout,105,104,50,0.30701762498028273
252,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Baseline,106,0,6,0.26939469154435614
253,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Baseline,107,1,7,-1.0951957317313443
254,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Baseline,108,2,8,0.49325158107057376
255,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Baseline,109,3,9,-0.6093420163549084
256,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Baseline,110,4,10,0.23144808682530282
257,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,111,0,48,-3.8435810744160577
258,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,112,1,49,2.348558830492429
259,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,113,2,50,-2.1093657522490403
260,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,114,3,51,-1.665439027728432
261,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,115,4,52,-1.064277417731951
262,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,116,5,53,-0.9803425181995493
263,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,117,6,54,0.6860752298373924
264,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,118,7,55,-0.2755922259706054
265,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,119,8,56,0.5463340065696229
266,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,120,9,57,1.347905939275556
267,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,121,10,58,1.527335427024191
268,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Split,122,11,59,0.6900209369081622
269,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Washout,123,0,51,2.322574576946245
270,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Washout,124,1,52,1.4917855310921695
271,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Washout,125,2,53,1.1189624516650767
272,NotAtaxic,NoSwitch,NoSwitchLeft03,S6,Washout,126,3,54,0.015058421125324628
