,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
10068,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,8,-2.5825346359098944,-2.241635856578192,-3.2971985343973294,0.0003513353622027482,3.3363188155973376,-3.342279761728662,-1.6364356484076126,-2.7169343518317923,3.0303030302966363
10069,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,9,-1.0455198962279013,0.4398477878495157,-0.6839627236662452,-0.005617929970411689,2.823816164575433,-0.9792644072344245,0.7621997534626814,-3.6895178381913425,-6.0606060606005485
10070,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,0,2.5779415862728854,-0.5741613603340028,5.228758169934641,-0.00391298536058543,8.632498076467812,1.2769063313801894,0.4634107002104031,-3.603961370161791,6.0606060606060055
10071,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,1,-4.693611222084172,-1.8631437131591468,0.0,-0.002088598563460081,5.437107278843115,-1.5133732497090193,-1.3696673609458117,-2.0218812162600415,0.0
10072,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,2,-3.6868394023240683,-2.2439718769996944,-4.339993449066494,0.002995075350977927,6.037024295691225,-2.717989141290829,-1.117509663707068,-0.5198443498468421,0.0
10073,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,3,-6.652485240589485,-2.2924702985774204,-0.33370138633296514,-0.00845298573877555,5.9739623406920686,-3.1064332133592103,-1.5612861122747717,-4.158179225686496,-6.0606060606078245
10074,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,4,-3.4082663179648307,-2.9602092245350917,-3.067330753498227,-0.0021387467782473524,0.47827055959990616,-5.441708034939268,-0.028267171647812006,4.623979420222835,10.606060606061874
10075,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,5,-8.308310460562694,-2.760981843300897,1.9607843137254901,-0.003719335531650547,7.718388721196305,-3.433851762251493,-2.1647808527705763,-5.278392058586583,3.030303030311188
10076,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,6,-8.056648331459058,-1.3614127653756327,4.835164835164834,-0.004186799589331686,7.814549918126573,-1.7939981788095452,0.2341782203828302,-0.7744513802480597,-3.0303030303039122
10077,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,7,-1.2066542500197102,-1.9426666648439834,-2.1151586368977675,-0.0029250447140302394,3.061853273950419,-1.011946707060872,-1.1780496799584625,-2.8936423054150637,-3.0303030302966363
